BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;1;80;7680;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;1;138;13016;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;1;256;27344;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;1;498;53520;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;1;957;92648;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;1;1840;67036;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;1;3603;61952;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;2;50;7680;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;2;78;13016;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;2;138;27344;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;2;260;53520;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;2;494;92648;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;2;935;67036;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;2;1817;61952;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;4;23;7680;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;4;38;13016;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;4;69;27344;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;4;132;53520;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;4;251;92648;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;4;472;67036;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;4;914;61952;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;8;13;7680;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;8;21;13016;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;8;38;27344;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;8;71;53520;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;8;134;92648;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;8;253;67036;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;8;483;61952;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;16;13;7680;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;16;14;13016;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;16;30;27344;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;16;42;53520;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;16;83;92648;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;16;132;67036;
OpenMP Loop;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;16;280;61952;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;1;5;7680;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;1;14;13016;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;1;51;27344;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;1;175;53520;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;1;433;92648;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;1;895;67036;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1817;61952;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;2;3;7680;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;2;8;13016;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;2;28;27344;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;2;91;53520;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;2;221;92648;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;2;453;67036;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;2;916;61952;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;4;2;7680;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;4;5;13016;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;4;15;27344;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;4;49;53520;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;4;117;92648;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;4;232;67036;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;4;464;61952;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;8;2;7680;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;8;4;13016;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;8;9;27344;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;8;28;53520;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;8;65;92648;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;8;126;67036;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;8;249;61952;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/010.pts;;64;0.15;10;16;16;7680;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/020.pts;;64;0.15;20;16;5;13016;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/040.pts;;64;0.15;40;16;9;27335;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/080.pts;;64;0.15;80;16;26;53520;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/160.pts;;64;0.15;160;16;66;92648;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/320.pts;;64;0.15;320;16;104;67036;
Octree;/home/training/dd-19-32-26/Assignment/scripts/../data/benchmark/642.pts;;64;0.15;642;16;161;61952;
